"id","tag_id","tag_name","tag_description","value_representation"
3099,"(0018,5027)","SoftTissueThermalIndex","Soft Tissue Thermal Index","DS"
3100,"(0028,3110)","SoftcopyVOILUTSequence","Softcopy VOI LUT Sequence","SQ"
3101,"(0018,1020)","SoftwareVersions","Software Version(s)","LO"
3102,"(0072,0602)","SortByCategory","Sort-by Category","CS"
3103,"(0072,0604)","SortingDirection","Sorting Direction","CS"
3104,"(0072,0600)","SortingOperationsSequence","Sorting Operations Sequence","SQ"
3105,"(0014,405A)","SoundPathLength","Sound Path Length","DS"
3106,"(0002,0016)","SourceApplicationEntityTitle","Source Application Entity Title","AE"
3107,"(300A,0291)","SourceApplicatorID","Source Applicator ID","SH"
3108,"(300A,0296)","SourceApplicatorLength","Source Applicator Length","DS"
3109,"(300A,0298)","SourceApplicatorManufacturer","Source Applicator Manufacturer","LO"
3110,"(300A,0294)","SourceApplicatorName","Source Applicator Name","LO"
3111,"(300A,0290)","SourceApplicatorNumber","Source Applicator Number","IS"
3112,"(300A,02A0)","SourceApplicatorStepSize","Source Applicator Step Size","DS"
3113,"(300A,0292)","SourceApplicatorType","Source Applicator Type","CS"
3114,"(300A,029C)","SourceApplicatorWallNominalThickness","Source Applicator Wall Nominal Thickness","DS"
3115,"(300A,029E)","SourceApplicatorWallNominalTransmission","Source Applicator Wall Nominal Transmission","DS"
3116,"(300A,00B4)","SourceAxisDistance","Source-Axis Distance","DS"
3117,"(300A,021C)","SourceDescription","Source Description","LO"
3118,"(300A,0222)","SourceEncapsulationNominalThickness","Source Encapsulation Nominal Thickness","DS"
3119,"(300A,0224)","SourceEncapsulationNominalTransmission","Source Encapsulation Nominal Transmission","DS"
3120,"(0064,0003)","SourceFrameOfReferenceUID","Source Frame of Reference UID","UI"
3121,"(0072,0012)","SourceHangingProtocolSequence","Source Hanging Protocol Sequence","SQ"
3122,"(0046,0244)","SourceImageCornealProcessedDataSequence","Source Image Corneal Processed Data Sequence","SQ"
3123,"(0008,9154)","SourceImageEvidenceSequence","Source Image Evidence Sequence","SQ"
3124,"(0020,31xx)","SourceImageIDs","Source Image I​Ds","CS"
3125,"(0008,2112)","SourceImageSequence","Source Image Sequence","SQ"
3126,"(0042,0013)","SourceInstanceSequence","Source Instance Sequence","SQ"
3127,"(300A,0228)","SourceIsotopeHalfLife","Source Isotope Half Life","DS"
3128,"(300A,0226)","SourceIsotopeName","Source Isotope Name","LO"
3129,"(300A,0216)","SourceManufacturer","Source Manufacturer","LO"
3130,"(300A,021B)","SourceModelID","Source Model ID","SH"
3131,"(300A,0288)","SourceMovementType","Source Movement Type","CS"
3132,"(300A,0212)","SourceNumber","Source Number","IS"
3133,"(0022,1133)","SourceOfAnteriorChamberDepthDataCodeSequence","Source of Anterior Chamber Depth Data Code Sequence","SQ"
3134,"(0022,1132)","SourceOfLensThicknessDataCodeSequence","Source of Lens Thickness Data Code Sequence","SQ"
3135,"(0022,1035)","SourceOfOphthalmicAxialLengthCodeSequence","Source of Ophthalmic Axial Length Code Sequence","SQ"
3136,"(0400,0564)","SourceOfPreviousValues","Source of Previous Values","LO"
3137,"(0022,1135)","SourceOfRefractiveMeasurementsCodeSequence","Source of Refractive Measurements Code Sequence","SQ"
3138,"(0022,1134)","SourceOfRefractiveMeasurementsSequence","Source of Refractive Measurements Sequence","SQ"
3139,"(4010,1060)","SourceOrientation","Source Orientation","FL"
3140,"(4010,1061)","SourcePosition","Source Position","FL"
3141,"(300A,0210)","SourceSequence","Source Sequence","SQ"
3142,"(3008,0105)","SourceSerialNumber","Source Serial Number","LO"
3143,"(300A,022B)","SourceStrength","Source Strength","DS"
3144,"(300A,022C)","SourceStrengthReferenceDate","Source Strength Reference Date","DA"
3145,"(300A,022E)","SourceStrengthReferenceTime","Source Strength Reference Time","TM"
3146,"(300A,0229)","SourceStrengthUnits","Source Strength Units","CS"
3147,"(300A,0436)","SourceToApplicatorMountingPositionDistance","Source to Applicator Mounting Position Distance","FL"
3148,"(300A,00BA)","SourceToBeamLimitingDeviceDistance","Source to Beam Limiting Device Distance","DS"
3149,"(300A,00F6)","SourceToBlockTrayDistance","Source to Block Tray Distance","DS"
3150,"(300A,02E2)","SourceToCompensatorDistance","Source to Compensator Distance","DS"
3151,"(300A,00E6)","SourceToCompensatorTrayDistance","Source to Compensator Tray Distance","DS"
3152,"(300A,0425)","SourceToGeneralAccessoryDistance","Source to General Accessory Distance","FL"
3153,"(3002,0028)","SourceToReferenceObjectDistance","Source to Reference Object Distance","DS"
3154,"(300A,0130)","SourceToSurfaceDistance","Source to Surface Distance","DS"
3155,"(300A,00DA)","SourceToWedgeTrayDistance","Source to Wedge Tray Distance","DS"
3156,"(300A,0214)","SourceType","Source Type","CS"
3157,"(003A,020A)","SourceWaveformSequence","Source Waveform Sequence","SQ"
3158,"(0018,0088)","SpacingBetweenSlices","Spacing Between Slices","DS"
3159,"(0028,135A)","SpatialLocationsPreserved","Spatial Locations Preserved","CS"
3160,"(0018,9027)","SpatialPresaturation","Spatial Pre-saturation","CS"
3161,"(0018,1050)","SpatialResolution","Spatial Resolution","DS"
3162,"(3004,0005)","SpatialTransformOfDose","Spatial Transform of Dose","CS"
3163,"(0038,0050)","SpecialNeeds","Special Needs","LO"
3164,"(0018,9179)","SpecificAbsorptionRateDefinition","Specific Absorption Rate Definition","CS"
3165,"(0018,9239)","SpecificAbsorptionRateSequence","Specific Absorption Rate Sequence","SQ"
3166,"(0018,9181)","SpecificAbsorptionRateValue","Specific Absorption Rate Value","FD"
3167,"(0008,0005)","SpecificCharacterSet","Specific Character Set","CS"
3168,"(3008,0132)","SpecifiedChannelTotalTime","Specified Channel Total Time","DS"
3169,"(3008,0042)","SpecifiedMeterset","Specified Meterset","DS"
3170,"(3008,0136)","SpecifiedNumberOfPulses","Specified Number of Pulses","IS"
3171,"(3008,0032)","SpecifiedPrimaryMeterset","Specified Primary Meterset","DS"
3172,"(3008,013A)","SpecifiedPulseRepetitionInterval","Specified Pulse Repetition Interval","DS"
3173,"(3008,0033)","SpecifiedSecondaryMeterset","Specified Secondary Meterset","DS"
3174,"(3008,003A)","SpecifiedTreatmentTime","Specified Treatment Time","DS"
3175,"(0040,050A)","SpecimenAccessionNumber","Specimen Accession Number","LO"
3176,"(0040,0560)","SpecimenDescriptionSequence","Specimen Description Sequence","SQ"
3177,"(0040,0552)","SpecimenDescriptionSequenceTrial","Specimen Description Sequence (Trial)","SQ"
3178,"(0040,0553)","SpecimenDescriptionTrial","Specimen Description (Trial)","ST"
3179,"(0040,0602)","SpecimenDetailedDescription","Specimen Detailed Description","UT"
3180,"(0040,0551)","SpecimenIdentifier","Specimen Identifier","LO"
3181,"(0048,0010)","SpecimenLabelInImage","Specimen Label in Image","CS"
3182,"(0040,0620)","SpecimenLocalizationContentItemSequence","Specimen Localization Content Item Sequence","SQ"
3183,"(0040,0610)","SpecimenPreparationSequence","Specimen Preparation Sequence","SQ"
3184,"(0040,0612)","SpecimenPreparationStepContentItemSequence","Specimen Preparation Step Content Item Sequence","SQ"
3185,"(0048,0110)","SpecimenReferenceSequence","Specimen Reference Sequence","SQ"
3186,"(0040,0550)","SpecimenSequence","Specimen Sequence","SQ"
3187,"(0040,0600)","SpecimenShortDescription","Specimen Short Description","LO"
3188,"(0040,059A)","SpecimenTypeCodeSequence","Specimen Type Code Sequence","SQ"
3189,"(0040,0554)","SpecimenUID","Specimen UID","UI"
3190,"(0018,9052)","SpectralWidth","Spectral Width","FD"
3191,"(0018,9026)","SpectrallySelectedExcitation","Spectrally Selected Excitation","CS"
3192,"(0018,9025)","SpectrallySelectedSuppression","Spectrally Selected Suppression","CS"
3193,"(0018,9127)","SpectroscopyAcquisitionDataColumns","Spectroscopy Acquisition Data Columns","UL"
3194,"(0018,9159)","SpectroscopyAcquisitionOutOfPlanePhaseSteps","Spectroscopy Acquisition Out-of-plane Phase Steps","UL"
3195,"(0018,9234)","SpectroscopyAcquisitionPhaseColumns","Spectroscopy Acquisition Phase Columns","UL"
3196,"(0018,9095)","SpectroscopyAcquisitionPhaseRows","Spectroscopy Acquisition Phase Rows","UL"
3197,"(5600,0020)","SpectroscopyData","Spectroscopy Data","OF"
3198,"(0046,0146)","SpherePower","Sphere Power","FD"
3199,"(0022,0007)","SphericalLensPower","Spherical Lens Power","FL"
3200,"(0018,9311)","SpiralPitchFactor","Spiral Pitch Factor","FD"
3201,"(0018,9016)","Spoiling","Spoiling","CS"
3202,"(0020,9056)","StackID","Stack ID","SH"
3203,"(0040,000A)","StageCodeSequence","Stage Code Sequence","SQ"
3204,"(0008,2120)","StageName","Stage Name","SH"
3205,"(0008,2122)","StageNumber","Stage Number","IS"
3206,"(0018,9516)","StartAcquisitionDateTime","Start Acquisition DateTime","DT"
3207,"(0054,0200)","StartAngle","Start Angle","DS"
3208,"(0018,9717)","StartCardiacTriggerCountThreshold","Start Cardiac Trigger Count Threshold","FD"
3209,"(300C,0008)","StartCumulativeMetersetWeight","Start Cumulative Meterset Weight","DS"
3210,"(0018,9715)","StartDensityThreshold","Start Density Threshold","FD"
3211,"(3008,0078)","StartMeterset","Start Meterset","DS"
3212,"(0018,9716)","StartRelativeDensityDifferenceThreshold","Start Relative Density Difference Threshold","FD"
3213,"(0018,9718)","StartRespiratoryTriggerCountThreshold","Start Respiratory Trigger Count Threshold","FD"
3214,"(0008,2142)","StartTrim","Start Trim","IS"
3215,"(0020,9246)","StartingRespiratoryAmplitude","Starting Respiratory Amplitude","FL"
3216,"(0020,9247)","StartingRespiratoryPhase","Starting Respiratory Phase","CS"
3217,"(0008,1010)","StationName","Station Name","SH"
3218,"(0018,9017)","SteadyStatePulseSequence","Steady State Pulse Sequence","CS"
3219,"(0046,0074)","SteepKeratometricAxisSequence","Steep Keratometric Axis Sequence","SQ"
3220,"(0018,6036)","SteeringAngle","Steering Angle","FD"
3221,"(0022,0010)","StereoBaselineAngle","Stereo Baseline Angle","FL"
3222,"(0022,0011)","StereoBaselineDisplacement","Stereo Baseline Displacement","FL"
3223,"(0022,0012)","StereoHorizontalPixelOffset","Stereo Horizontal Pixel Offset","FL"
3224,"(0022,0020)","StereoPairsSequence","Stereo Pairs Sequence","SQ"
3225,"(0022,0014)","StereoRotation","Stereo Rotation","FL"
3226,"(0022,0013)","StereoVerticalPixelOffset","Stereo Vertical Pixel Offset","FL"
3227,"(0024,0042)","StimuliRetestingQuantity","Stimuli Retesting Quantity","US"
3228,"(0024,0025)","StimulusArea","Stimulus Area","FL"
3229,"(0024,0021)","StimulusColorCodeSequence","Stimulus Color Code Sequence","SQ"
3230,"(0024,0028)","StimulusPresentationTime","Stimulus Presentation Time","FL"
3231,"(0024,0093)","StimulusResults","Stimulus Results","CS"
3232,"(0008,2143)","StopTrim","Stop Trim","IS"
3233,"(0088,0130)","StorageMediaFileSetID","Storage Media File-set ID","SH"
3234,"(0088,0140)","StorageMediaFileSetUID","Storage Media File-set UID","UI"
3235,"(3006,0008)","StructureSetDate","Structure Set Date","DA"
3236,"(3006,0006)","StructureSetDescription","Structure Set Description","ST"
3237,"(3006,0002)","StructureSetLabel","Structure Set Label","SH"
3238,"(3006,0004)","StructureSetName","Structure Set Name","LO"
3239,"(3006,0020)","StructureSetROISequence","Structure Set ROI Sequence","SQ"
3240,"(3006,0009)","StructureSetTime","Structure Set Time","TM"
3241,"(0072,0420)","StructuredDisplayBackgroundCIELabValue","Structured Display Background CIE​Lab Value","US"
3242,"(0072,0422)","StructuredDisplayImageBoxSequence","Structured Display Image Box Sequence","SQ"
3243,"(0072,0424)","StructuredDisplayTextBoxSequence","Structured Display Text Box Sequence","SQ"
3244,"(0008,1200)","StudiesContainingOtherReferencedInstancesSequence","Studies Containing Other Referenced Instances Sequence","SQ"
3245,"(0032,1040)","StudyArrivalDate","Study Arrival Date","DA"
3246,"(0032,1041)","StudyArrivalTime","Study Arrival Time","TM"
3247,"(0032,4000)","StudyComments","Study Comments","LT"
3248,"(0032,1050)","StudyCompletionDate","Study Completion Date","DA"
3249,"(0032,1051)","StudyCompletionTime","Study Completion Time","TM"
3250,"(0032,1055)","StudyComponentStatusID","Study Component Status ID","CS"
3251,"(0008,0020)","StudyDate","Study Date","DA"
3252,"(0008,1030)","StudyDescription","Study Description","LO"
3253,"(0020,0010)","StudyID","Study ID","SH"
3254,"(0032,0012)","StudyIDIssuer","Study ID Issuer","LO"
3255,"(0020,000D)","StudyInstanceUID","Study Instance UID","UI"
3256,"(0032,000C)","StudyPriorityID","Study Priority ID","CS"
3257,"(0032,0034)","StudyReadDate","Study Read Date","DA"
3258,"(0032,0035)","StudyReadTime","Study Read Time","TM"
3259,"(0032,000A)","StudyStatusID","Study Status ID","CS"
3260,"(0008,0030)","StudyTime","Study Time","TM"
3261,"(0032,0032)","StudyVerifiedDate","Study Verified Date","DA"
3262,"(0032,0033)","StudyVerifiedTime","Study Verified Time","TM"
3263,"(0046,0098)","SubjectiveRefractionLeftEyeSequence","Subjective Refraction Left Eye Sequence","SQ"
3264,"(0046,0097)","SubjectiveRefractionRightEyeSequence","Subjective Refraction Right Eye Sequence","SQ"
3265,"(0074,1244)","SubscriptionListStatus","Subscription List Status","CS"
3266,"(0044,0002)","SubstanceAdministrationApproval","Substance Administration Approval","CS"
3267,"(0044,0010)","SubstanceAdministrationDateTime","Substance Administration DateTime","DT"
3268,"(0044,0012)","SubstanceAdministrationDeviceID","Substance Administration Device ID","LO"
3269,"(0044,0011)","SubstanceAdministrationNotes","Substance Administration Notes","LO"
3270,"(0044,0019)","SubstanceAdministrationParameterSequence","Substance Administration Parameter Sequence","SQ"
3271,"(0028,9416)","SubtractionItemID","Subtraction Item ID","US"
3272,"(2000,00A8)","SupportedImageDisplayFormatsSequence","Supported Image Display Formats Sequence","SQ"
3273,"(0046,0232)","SurfaceAsymmetryIndex","Surface Asymmetry Index","FL"
3274,"(0066,0004)","SurfaceComments","Surface Comments","LT"
3275,"(0066,002A)","SurfaceCount","Surface Count","UL"
3276,"(300A,012E)","SurfaceEntryPoint","Surface Entry Point","DS"
3277,"(0066,0013)","SurfaceMeshPrimitivesSequence","Surface Mesh Primitives Sequence","SQ"
3278,"(0068,6360)","SurfaceModelDescriptionSequence","Surface Model Description Sequence","SQ"
3279,"(0068,6380)","SurfaceModelLabel","Surface Model Label","LO"
3280,"(0068,6390)","SurfaceModelScalingFactor","Surface Model Scaling Factor","FD"
3281,"(0066,0003)","SurfaceNumber","Surface Number","UL"
3282,"(0080,0007)","SurfacePointColorCIELabValueData","Surface Point Color CIE​Lab Value Data","US"
3283,"(0080,0006)","SurfacePointPresentationValueData","Surface Point Presentation Value Data","US"
3284,"(0066,0012)","SurfacePointsNormalsSequence","Surface Points Normals Sequence","SQ"
3285,"(0066,0011)","SurfacePointsSequence","Surface Points Sequence","SQ"
3286,"(0066,0009)","SurfaceProcessing","Surface Processing","CS"
3287,"(0066,0035)","SurfaceProcessingAlgorithmIdentificationSequence","Surface Processing Algorithm Identification Sequence","SQ"
3288,"(0066,000B)","SurfaceProcessingDescription","Surface Processing Description","LO"
3289,"(0066,000A)","SurfaceProcessingRatio","Surface Processing Ratio","FL"
3290,"(0046,0230)","SurfaceRegularityIndex","Surface Regularity Index","FL"
3291,"(0080,0001)","SurfaceScanAcquisitionTypeCodeSequence","Surface Scan Acquisition Type Code Sequence","SQ"
3292,"(0080,0002)","SurfaceScanModeCodeSequence","Surface Scan Mode Code Sequence","SQ"
3293,"(0066,0002)","SurfaceSequence","Surface Sequence","SQ"
3294,"(0076,0030)","SurgicalTechnique","Surgical Technique","LO"
3295,"(0018,106C)","SynchronizationChannel","Synchronization Channel","US"
3296,"(0020,0200)","SynchronizationFrameOfReferenceUID","Synchronization Frame of Reference UID","UI"
3297,"(0018,106A)","SynchronizationTrigger","Synchronization Trigger","CS"
3298,"(0072,0432)","SynchronizedImageBoxList","Synchronized Image Box List","US"
3299,"(0072,0210)","SynchronizedScrollingSequence","Synchronized Scrolling Sequence","SQ"
3300,"(0018,1045)","SyringeCounts","Syringe Counts","IS"
3301,"(0018,9021)","T2Preparation","T2 Preparation","CS"
3302,"(4010,1027)","TDRType","TDR Type","CS"
3303,"(0028,6120)","TIDOffset","TID Offset","SS"
3304,"(4010,1039)","TIPType","TIP Type","CS"
3305,"(0018,603D)","TMLinePositionX0","TM-Line Position X0","SL"
3306,"(0018,603C)","TMLinePositionX0Retired","TM-Line Position X0 (Retired)","UL"
3307,"(0018,6041)","TMLinePositionX1","TM-Line Position X1","SL"
3308,"(0018,6040)","TMLinePositionX1Retired","TM-Line Position X1 (Retired)","UL"
3309,"(0018,603F)","TMLinePositionY0","TM-Line Position Y0","SL"
3310,"(0018,603E)","TMLinePositionY0Retired","TM-Line Position Y0 (Retired)","UL"
3311,"(0018,6043)","TMLinePositionY1","TM-Line Position Y1","SL"
3312,"(0018,6042)","TMLinePositionY1Retired","TM-Line Position Y1 (Retired)","UL"
3313,"(0018,1138)","TableAngle","Table Angle","DS"
3314,"(0018,9471)","TableCradleTiltAngle","Table Cradle Tilt Angle","FL"
3315,"(0018,9310)","TableFeedPerRotation","Table Feed per Rotation","FD"
3316,"(0020,9313)","TableFrameOfReferenceUID","Table Frame of Reference UID","UI"
3317,"(0018,9470)","TableHeadTiltAngle","Table Head Tilt Angle","FL"
3318,"(0018,1130)","TableHeight","Table Height","DS"
3319,"(0018,9469)","TableHorizontalRotationAngle","Table Horizontal Rotation Angle","FL"
3320,"(0018,1136)","TableLateralIncrement","Table Lateral Increment","DS"
3321,"(0018,1137)","TableLongitudinalIncrement","Table Longitudinal Increment","DS"
3322,"(0018,1134)","TableMotion","Table Motion","CS"
3323,"(0018,605A)","TableOfParameterValues","Table of Parameter Values","FL"
3324,"(0018,6058)","TableOfPixelValues","Table of Pixel Values","UL"
3325,"(0018,6052)","TableOfXBreakPoints","Table of X Break Points","UL"
3326,"(0018,6054)","TableOfYBreakPoints","Table of Y Break Points","FD"
3327,"(0018,9327)","TablePosition","Table Position","FD"
3328,"(0018,9406)","TablePositionSequence","Table Position Sequence","SQ"
3329,"(0018,9309)","TableSpeed","Table Speed","FD"
3330,"(0074,102B)","TableTopEccentricAdjustedAngle","Table Top Eccentric Adjusted Angle","FD"
3331,"(300A,0125)","TableTopEccentricAngle","Table Top Eccentric Angle","DS"
3332,"(300A,004E)","TableTopEccentricAngleTolerance","Table Top Eccentric Angle Tolerance","DS"
3333,"(300A,0124)","TableTopEccentricAxisDistance","Table Top Eccentric Axis Distance","DS"
3334,"(300A,0126)","TableTopEccentricRotationDirection","Table Top Eccentric Rotation Direction","CS"
3335,"(0074,1028)","TableTopLateralAdjustedPosition","Table Top Lateral Adjusted Position","FD"
3336,"(300A,012A)","TableTopLateralPosition","Table Top Lateral Position","DS"
3337,"(300A,0053)","TableTopLateralPositionTolerance","Table Top Lateral Position Tolerance","DS"
3338,"(300A,01D6)","TableTopLateralSetupDisplacement","Table Top Lateral Setup Displacement","DS"
3339,"(0074,1027)","TableTopLongitudinalAdjustedPosition","Table Top Longitudinal Adjusted Position","FD"
3340,"(300A,0129)","TableTopLongitudinalPosition","Table Top Longitudinal Position","DS"
3341,"(300A,0052)","TableTopLongitudinalPositionTolerance","Table Top Longitudinal Position Tolerance","DS"
3342,"(300A,01D4)","TableTopLongitudinalSetupDisplacement","Table Top Longitudinal Setup Displacement","DS"
3343,"(0074,102C)","TableTopPitchAdjustedAngle","Table Top Pitch Adjusted Angle","FD"
3344,"(300A,0140)","TableTopPitchAngle","Table Top Pitch Angle","FL"
3345,"(300A,004F)","TableTopPitchAngleTolerance","Table Top Pitch Angle Tolerance","FL"
3346,"(300A,0142)","TableTopPitchRotationDirection","Table Top Pitch Rotation Direction","CS"
3347,"(0074,102D)","TableTopRollAdjustedAngle","Table Top Roll Adjusted Angle","FD"
3348,"(300A,0144)","TableTopRollAngle","Table Top Roll Angle","FL"
3349,"(300A,0050)","TableTopRollAngleTolerance","Table Top Roll Angle Tolerance","FL"
3350,"(300A,0146)","TableTopRollRotationDirection","Table Top Roll Rotation Direction","CS"
3351,"(0074,1026)","TableTopVerticalAdjustedPosition","Table Top Vertical Adjusted Position","FD"
3352,"(300A,0128)","TableTopVerticalPosition","Table Top Vertical Position","DS"
3353,"(300A,0051)","TableTopVerticalPositionTolerance","Table Top Vertical Position Tolerance","DS"
3354,"(300A,01D2)","TableTopVerticalSetupDisplacement","Table Top Vertical Setup Displacement","DS"
3355,"(0018,1131)","TableTraverse","Table Traverse","DS"
3356,"(0018,113A)","TableType","Table Type","CS"
3357,"(0018,1135)","TableVerticalIncrement","Table Vertical Increment","DS"
3358,"(0018,9466)","TableXPositionToIsocenter","Table X Position to Isocenter","FL"
3359,"(0018,9467)","TableYPositionToIsocenter","Table Y Position to Isocenter","FL"
3360,"(0018,9468)","TableZPositionToIsocenter","Table Z Position to Isocenter","FL"
3361,"(0018,9019)","TagAngleFirstAxis","Tag Angle First Axis","FD"
3362,"(0018,9219)","TagAngleSecondAxis","Tag Angle Second Axis","SS"
3363,"(0018,9030)","TagSpacingFirstDimension","Tag Spacing First Dimension","FD"
3364,"(0018,9218)","TagSpacingSecondDimension","Tag Spacing Second Dimension","FD"
3365,"(0018,9035)","TagThickness","Tag Thickness","FD"
3366,"(0018,9028)","Tagging","Tagging","CS"
3367,"(0018,9184)","TaggingDelay","Tagging Delay","FD"
3368,"(0046,0250)","TangentialPower","Tangential Power","FL"
3369,"(0018,1412)","TargetExposureIndex","Target Exposure Index","DS"
3370,"(0018,2045)","TargetLabel","Target Label","SH"
3371,"(4010,1072)","TargetMaterialSequence","Target Material Sequence","SQ"
3372,"(300A,0027)","TargetMaximumDose","Target Maximum Dose","DS"
3373,"(300A,0025)","TargetMinimumDose","Target Minimum Dose","DS"
3374,"(300A,0026)","TargetPrescriptionDose","Target Prescription Dose","DS"
3375,"(0022,1037)","TargetRefraction","Target Refraction","FL"
3376,"(0018,2042)","TargetUID","Target UID","UI"
3377,"(300A,0028)","TargetUnderdoseVolumeFraction","Target Underdose Volume Fraction","DS"
3378,"(0040,A354)","TelephoneNumberTrial","Telephone Number (Trial)","LO"
3379,"(0040,DB0D)","TemplateExtensionCreatorUID","Template Extension Creator UID","UI"
3380,"(0040,DB0B)","TemplateExtensionFlag","Template Extension Flag","CS"
3381,"(0040,DB0C)","TemplateExtensionOrganizationUID","Template Extension Organization UID","UI"
3382,"(0040,DB00)","TemplateIdentifier","Template Identifier","CS"
3383,"(0040,DB07)","TemplateLocalVersion","Template Local Version","DT"
3384,"(300A,0244)","TemplateName","Template Name","LO"
3385,"(300A,0240)","TemplateNumber","Template Number","IS"
3386,"(300A,0242)","TemplateType","Template Type","SH"
3387,"(0040,DB06)","TemplateVersion","Template Version","DT"
3388,"(0020,0100)","TemporalPositionIdentifier","Temporal Position Identifier","IS"
3389,"(0020,9128)","TemporalPositionIndex","Temporal Position Index","UL"
3390,"(0020,9310)","TemporalPositionSequence","Temporal Position Sequence","SQ"
3391,"(0020,930D)","TemporalPositionTimeOffset","Temporal Position Time Offset","FD"
3392,"(0040,A130)","TemporalRangeType","Temporal Range Type","CS"
3393,"(0020,0110)","TemporalResolution","Temporal Resolution","DS"
3394,"(0018,9723)","TerminationCardiacTriggerCountThreshold","Termination Cardiac Trigger Count Threshold","FD"
3395,"(0018,9719)","TerminationCountsThreshold","Termination Counts Threshold","FD"
3396,"(0018,9720)","TerminationDensityThreshold","Termination Density Threshold","FD"
3397,"(0018,9721)","TerminationRelativeDensityThreshold","Termination Relative Density Threshold","FD"
3398,"(0018,9724)","TerminationRespiratoryTriggerCountThreshold","Termination Respiratory Trigger Count Threshold","FD"
3399,"(0018,9722)","TerminationTimeThreshold","Termination Time Threshold","FD"
3400,"(0024,0057)","TestPointNormalsDataFlag","Test Point Normals Data Flag","CS"
3401,"(0024,0058)","TestPointNormalsSequence","Test Point Normals Sequence","SQ"
3402,"(0070,0241)","TextColorCIELabValue","Text Color CIE​Lab Value","US"
3403,"(4000,4000)","TextComments","Text Comments","LT"
3404,"(0070,0008)","TextObjectSequence","Text Object Sequence","SQ"
3405,"(2030,0020)","TextString","Text String","LO"
3406,"(0070,0231)","TextStyleSequence","Text Style Sequence","SQ"
3407,"(0040,A160)","TextValue","Text Value","UT"
3408,"(0080,0009)","TextureLabel","Texture Label","SH"
3409,"(0018,0039)","TherapyDescription","Therapy Description","CS"
3410,"(0018,0037)","TherapyType","Therapy Type","CS"
3411,"(4010,1012)","ThreatCategory","Threat Category","CS"
3412,"(4010,1013)","ThreatCategoryDescription","Threat Category Description","LT"
3413,"(4010,1029)","ThreatDetectionAlgorithmandVersion","Threat Detection Algorithm and Version","LO"
3414,"(4010,1004)","ThreatROIBase","Threat ROI Base","FL"
3415,"(4010,1006)","ThreatROIBitmap","Threat ROI Bitmap","OB"
3416,"(4010,1005)","ThreatROIExtents","Threat ROI Extents","FL"
3417,"(4010,1001)","ThreatROIVoxelSequence","Threat ROI Voxel Sequence","SQ"
3418,"(4010,1011)","ThreatSequence","Threat Sequence","SQ"
3419,"(0068,6490)","ThreeDDegreeOfFreedomAxis","3D Degree of Freedom Axis","FD"
3420,"(0078,0060)","ThreeDImplantTemplateGroupMemberMatchingAxes","3D Implant Template Group Member Matching Axes","FD"
3421,"(0078,0050)","ThreeDImplantTemplateGroupMemberMatchingPoint","3D Implant Template Group Member Matching Point","FD"
3422,"(0068,65D0)","ThreeDLineCoordinates","3D Line Coordinates","FD"
3423,"(0068,64D0)","ThreeDMatingAxes","3D Mating Axes","FD"
3424,"(0068,64C0)","ThreeDMatingPoint","3D Mating Point","FD"
3425,"(0068,6620)","ThreeDPlaneNormal","3D Plane Normal","FD"
3426,"(0068,6610)","ThreeDPlaneOrigin","3D Plane Origin","FD"
3427,"(0068,6590)","ThreeDPointCoordinates","3D Point Coordinates","FD"
3428,"(0072,0520)","ThreeDRenderingType","3D Rendering Type","CS"
3429,"(2040,0100)","ThresholdDensity","Threshold Density","CS"
3430,"(0070,0274)","TickAlignment","Tick Alignment","CS"
3431,"(0070,0289)","TickLabel","Tick Label","SH"
3432,"(0070,0279)","TickLabelAlignment","Tick Label Alignment","CS"
3433,"(0070,0288)","TickPosition","Tick Position","FL"
3434,"(0040,A122)","Time","Time","TM"
3435,"(0072,0030)","TimeBasedImageSetsSequence","Time Based Image Sets Sequence","SQ"
3436,"(0018,1802)","TimeDistributionProtocol","Time Distribution Protocol","CS"
3437,"(0018,9065)","TimeDomainFiltering","Time Domain Filtering","CS"
3438,"(0040,A112)","TimeOfDocumentCreationOrVerbalTransactionTrial","Time of Document Creation or Verbal Transaction (Trial)","TM"
3439,"(0018,9015)","TimeOfFlightContrast","Time of Flight Contrast","CS"
3440,"(0018,9755)","TimeOfFlightInformationUsed","Time of Flight Information Used","CS"
3441,"(0014,3077)","TimeOfGainCalibration","Time of Gain Calibration","TM"
3442,"(0018,1201)","TimeOfLastCalibration","Time of Last Calibration","TM"
3443,"(0018,700E)","TimeOfLastDetectorCalibration","Time of Last Detector Calibration","TM"
3444,"(0018,1014)","TimeOfSecondaryCapture","Time of Secondary Capture","TM"
3445,"(0008,1163)","TimeRange","Time​Range","FD"
3446,"(0054,0100)","TimeSliceVector","Time Slice Vector","US"
3447,"(0054,0072)","TimeSlotInformationSequence","Time Slot Information Sequence","SQ"
3448,"(0020,0017)","TimeSlotNumber","Time Slot Number","IS"
3449,"(0054,0073)","TimeSlotTime","Time Slot Time","DS"
3450,"(0054,0070)","TimeSlotVector","Time Slot Vector","US"
3451,"(0018,1801)","TimeSource","Time Source","SH"
3452,"(0008,0201)","TimezoneOffsetFromUTC","Timezone Offset From UTC","SH"
3453,"(3004,0014)","TissueHeterogeneityCorrection","Tissue Heterogeneity Correction","CS"
